inst m l GREEDY MH GENETIC HYBRID
99 1000 300 48531370 48529141 50237850 48529125
0 1000 500 134813364 134812299 139776408 134810893    
1 1000 500 134412237 134411555 139689162 134411555 
2 1000 500 134742145 134738092 139820093 134737153  
3 1000 500 134601249 134597858 139649978 134598095  
4 1000 500 134590802 134587327 139861228 134587187  
5 1000 500 134784877 134784482 139541909 134783369 
6 1000 500 134928083 134926320 139769812 134924839
7 1000 500 134794888 134792650 139824779 134792715
8 1000 500 134519664 134519627 139880869 134519664
9 1000 500 134501354 134497646 139786978 134496152
10 1000 500 134548243 134546334 139695585 134546016
11 1000 500 134748530 134743635 139534335 134744455
12 1000 500 134403023 134400429 139771554 134400287
13 1000 500 134778213 134776014 139625538 134775194
14 1000 500 134655728 134653437 139670947 134653538
15 1000 500 134609439 134608695 139618188 134606947
16 1000 500 134582758 134579920 139713529 134579406
17 1000 500 134755491 134751007 139698291 134751125
18 1000 500 134660672 134659556 139736541 134658995
19 1000 500 134738447 134734928 139748998 134734086
20 1000 500 134643366 134641768 139847254 134641761
21 1000 500 134552619 134549637 139689003 134548562
22 1000 500 134529349 134525158 139469894 134523841
23 1000 500 134718000 134716142 139595385 134715676
24 1000 500 134730296 134728098 139773052 134727568
25 1000 500 134641357 134636256 139746334 134634527
26 1000 500 134731190 134728584 139649478 134728039
27 1000 500 134766503 134764004 139564317 134763361
