inst  m      l     greedy      mh          ag
77    500    500   66014938    66013105    69591381
78    500    500   66124748    66122262    69437824
79    500    500   66040973    66038473    69720673
80    500    500   66015306    66010110    69500233
81    500    500   65937460    65934300    69589504
82    500    500   66093689    66090913    69642556
83    500    500   66065612    66063021    69504511
84    500    500   66152658    66148358    69512552
85    500    500   65991681    65991395    69692288
86    500    500   66101684    66101220    69660957
87    500    500   66286429    66285905    69707754
88    500    500   66108104    66107970    69445530
89    500    500   66023147    66019859    69705644
90    500    500   66078939    66077791    69716242
91    500    500   65915046    65912832    69484905
92    500    500   66092756    66092402    69590241
93    500    500   66039947    66037187    69666876
94    500    500   66042114    66037394    69625312
95    500    500   65975342    65972863    69696831
96    500    500   66050826    66047830    69449219
97    500    500   66208993    66207939    69661733
98    500    500   66032785    66031637    69769670
99    500    500   65996965    65995797    69574317
0     1000   100   5420500     5420050     5552726    
1     1000   100   5398236     5397786     5526034
2     1000   100   5382492     5381389     5534387
3     1000   100   5394892     5394349     5529781
4     1000   100   5381205     5380786     5534813
5     1000   100   5410399     5410133     5546580
6     1000   100   5381011     5381011     5529270
7     1000   100   5401895     5401281     5536924
8     1000   100   5405903     5405473     5535029
9     1000   100   5413026     5412737     5553253
10    1000   100   5397887     5397324     5530720
11    1000   100   5395109     5394958     5542766
12    1000   100   5405674     5404663     5548700
13    1000   100   5409576     5408723     5549433
14    1000   100   5375335     5374849     5532367
15    1000   100   5394674     5394251     5531761
16    1000   100   5406101     5405875     5528102
17    1000   100   5406547     5406379     5539180
18    1000   100   5408165     5407950     5529896
19    1000   100   5365017     5364998     5527054
20    1000   100   5409775     5409599     5532662
21    1000   100   5394165     5394165     5545226
22    1000   100   5401712     5401305     5538385
23    1000   100   5395139     5395071     5539115
24    1000   100   5398555     5398252     5550721
25    1000   100   5392583     5392505     5529401
26    1000   100   5405306     5404784     5541954
27    1000   100   5407603     5407345     5530582
28    1000   100   5393176     5393044     5546052
29    1000   100   5379742     5379689     5531429
30    1000   100   5385976     5385232     5543841
31    1000   100   5389134     5388785     5534260
32    1000   100   5418577     5417870     5536347
33    1000   100   5420187     5419498     5552993
34    1000   100   5398902     5398251     5518816
35    1000   100   5389362     5388866     5534980
36    1000   100   5384752     5384094     5540789
37    1000   100   5401877     5401470     5526322
38    1000   100   5411020     5410612     5548894
39    1000   100   5384658     5384550     5533165
40    1000   100   5411930     5411586     5516179
41    1000   100   5393443     5393282     5518786
42    1000   100   5393537     5393537     5523513
43    1000   100   5407156     5406482     5538479
44    1000   100   5417436     5416957     5552956
45    1000   100   5408992     5408455     5533735
46    1000   100   5394408     5393592     5534574
47    1000   100   5393240     5393224     5534944
